,키,몸무게,연간 음주 빈도,한번 섭취시 음주량,일반담배 하루 흡연량,격렬한 신체활동 일수,중증도 신체활동 일수,걷기 실천 일수,주간 아침식사 일수,체형(5단계)
451,150.0,45.0,0,0,0,0,0,0,3,1
452,165.0,50.0,5,2,0,0,0,3,3,2
453,157.0,49.0,0,0,0,0,0,3,1,3
454,150.0,65.0,3,1,0,0,3,7,3,4
455,178.0,80.0,0,0,5,0,5,7,3,3
456,160.0,54.0,3,2,0,6,6,7,2,3
457,157.0,52.0,3,2,0,5,4,7,3,3
458,179.0,56.0,2,2,0,0,0,7,1,2
460,162.0,60.0,4,3,0,0,0,4,0,4
461,176.0,64.0,4,4,0,1,0,5,1,3
462,162.0,70.0,1,0,20,0,0,1,3,4
463,159.0,50.0,2,2,0,0,0,5,3,2
464,149.0,50.0,4,4,0,0,0,3,3,4
465,171.0,68.0,6,2,0,0,0,5,3,3
466,160.0,65.0,1,0,0,0,0,7,2,4
467,160.0,70.0,4,3,0,2,2,3,3,4
468,154.0,50.0,5,1,0,3,3,3,0,3
469,165.0,60.0,0,0,0,0,0,5,0,4
471,168.0,70.0,0,0,0,0,0,5,2,4
472,164.0,50.0,3,1,0,0,0,5,3,2
473,150.0,60.0,0,0,0,0,0,7,3,3
474,165.0,73.0,0,0,0,0,3,5,3,4
476,158.0,72.0,1,0,0,0,0,7,3,5
477,162.0,54.0,0,0,20,3,0,7,3,3
478,168.0,70.0,3,3,0,0,0,7,3,3
479,158.0,56.0,0,0,0,0,6,7,3,3
480,168.0,65.0,5,2,0,0,7,5,0,3
481,158.0,52.0,4,1,0,0,0,3,0,3
482,163.0,90.0,4,3,0,5,4,6,0,5
483,160.0,47.0,6,3,0,0,3,7,3,3
484,158.0,49.0,5,1,0,1,1,7,0,3
485,153.0,69.0,0,0,0,0,0,3,3,4
486,173.0,70.0,1,0,0,4,6,7,0,3
487,172.0,68.0,3,1,0,5,7,7,0,3
491,175.0,67.0,2,1,0,7,7,7,0,2
493,180.0,65.0,1,0,0,0,0,7,2,3
494,163.0,84.0,1,0,0,0,0,1,0,5
495,168.0,55.0,1,0,0,0,0,7,2,3
496,174.0,78.0,1,0,0,0,0,4,1,4
497,155.0,50.0,0,0,0,0,0,0,3,2
498,175.0,70.0,5,3,0,2,0,7,3,2
499,152.0,50.0,0,0,0,0,0,7,1,3
500,168.0,78.0,1,0,0,0,0,7,3,4
501,163.0,56.0,4,1,0,0,0,7,3,3
502,169.0,60.0,5,3,0,2,0,3,0,2
503,170.0,63.0,0,0,0,0,0,7,3,3
504,154.0,54.0,0,0,0,1,3,4,3,3
505,158.0,54.0,1,0,0,4,4,2,0,3
506,172.0,68.0,1,0,0,0,0,7,3,3
507,156.0,46.0,2,1,0,0,0,4,0,3
508,170.0,61.0,3,3,13,0,0,0,3,3
509,157.0,48.0,1,0,0,3,3,2,1,3
510,175.0,60.0,2,2,0,3,3,5,2,2
